claim_id,forbidden_headline,replacement
BH-C01,A full four-coordinate black-hole HRSM space has been established.,A reduced black-hole projection is operational in the tested simulation and survey branches.
BH-C02,Specific accretion rate has been validated as adaptive reserve.,Specific accretion rate is used provisionally as a forcing or throughput coordinate.
BH-C03,Every current S construction measures equilibrium distance.,"S is an equilibrium-distance coordinate only where code, configuration, and equation use a concordant residual construction."
BH-C04,H and S are independent homeostatic axes.,The Tier 1 composite is exploratory until redundancy and noise-matched effective dimensionality are audited.
BH-C05,Black holes universally converge toward one homeostatic state as mass increases.,"In the frozen TNG Tier 1 branch, residence-based ripeness has a negative dispersion slope under the declared estimators, subject to provenance, effective-unit, and construction-null caps."
BH-C06,Median potential provides a robust compression law.,The ordinary-variance median-potential trend is tail dominated and fails robust re-estimation.
BH-C07,GAMA establishes a universal observational black-hole compression law.,"The GAMA D4000-offset branch is a directional, three-bin, resolution-limited observational analogue."
BH-C08,The quarantined sigma-star slope is confirmatory evidence.,The GAMA sigma-star construction is numerically quarantined pending clean reconstruction and target-side independence checks.
BH-C09,MaNGA confirms universal black-hole homeostatic compression.,MaNGA demonstrates survey-scale portability but refuses a universal compression law.
BH-C10,The score measures intrinsic black-hole maturity.,The score is an exploratory contextual ranking whose component and rank stability can be audited.
BH-C11,Settlement residuals alone prove violent disturbance.,Extreme settlement outliers are candidates for independent merger and host-disturbance validation.
BH-C12,Residence fraction is itself proof of dynamical memory.,Memory remains unactivated until a frozen generator ladder survives admitted finite augmentations and time-order nulls.
BH-C13,Post-event return time is automatically a predictive recoverability coordinate.,Recoverability remains unactivated until an information-time-valid R predicts an independent later recovery event.
BH-C14,All four HRSM coordinates are empirically active in black holes.,The current evidence supports at most a reduced Tier 1 projection while R and M remain future tests.
